,steps,self_finding_steps,prop_selected_correctly,participant,level
627,271,5.0,1.0,11,44
628,1329,3.0,0.4,11,45
629,485,3.3333333333333335,0.6,11,46
630,1051,2.5,0.2857142857142857,11,47
631,165,0.0,0.5,11,48
632,181,0.0,0.5,11,49
633,2081,2.5,0.2222222222222222,11,50
634,723,1.0,0.25,11,51
635,378,3.5,0.5,11,52
636,180,3.8378378378378377,0.8409090909090909,12,0
637,411,3.1052631578947367,0.890625,12,1
638,13,,,12,2
639,176,4.0,0.9333333333333333,12,3
640,131,3.357142857142857,0.875,12,4
641,61,2.8333333333333335,0.5454545454545454,12,5
642,97,4.0,0.8571428571428571,12,6
643,27,2.6,1.0,12,7
644,17,2.6666666666666665,1.0,12,8
645,19,4.25,1.0,12,9
646,58,3.75,0.8,12,10
647,27,5.0,1.0,12,11
648,19,5.0,1.0,12,12
649,19,3.25,1.0,12,13
650,41,3.2,0.8333333333333334,12,14
651,40,3.5,1.0,12,15
652,85,3.9,0.9090909090909091,12,16
653,55,4.4,0.625,12,17
654,13,4.5,1.0,12,18
655,17,4.333333333333333,1.0,12,19
656,25,5.333333333333333,1.0,12,20
657,19,5.0,1.0,12,21
658,17,5.0,1.0,12,22
659,47,4.714285714285714,1.0,12,23
660,33,2.8,1.0,12,24
661,51,4.0,1.0,12,25
662,17,5.0,0.5,12,26
663,17,1.5,1.0,12,27
664,29,2.25,1.0,12,28
665,11,4.5,1.0,12,29
666,11,4.5,1.0,12,30
667,23,3.0,1.0,12,31
668,75,4.125,0.7272727272727273,12,32
669,36,5.2,1.0,12,33
670,202,3.7222222222222223,0.8571428571428571,12,34
671,11,1.0,0.5,12,35
672,13,3.0,0.5,12,36
673,16,5.0,0.5,12,37
674,13,4.5,1.0,12,38
675,66,3.888888888888889,1.0,12,39
676,13,4.0,1.0,12,40
677,69,4.0,0.875,12,41
678,40,4.666666666666667,0.75,12,42
679,25,3.0,0.75,12,43
680,19,5.0,0.5,12,44
681,90,3.5714285714285716,0.875,12,45
682,18,6.0,0.5,12,46
683,47,1.75,0.8,12,47
684,13,4.5,1.0,12,48
685,33,3.75,0.8,12,49
686,29,4.0,0.5,12,50
687,19,0.0,1.0,12,51
688,61,3.4285714285714284,0.875,12,52
689,25,,0.0,13,0
690,9,,,13,1
691,454,3.0,0.18181818181818182,13,2
692,180,,0.0,13,3
693,19,,,13,4
694,25,,0.0,13,5
695,23,,0.0,13,6
696,225,,0.0,13,7
697,37,,0.0,13,8
698,23,5.0,1.0,13,9
699,179,,0.0,13,10
700,23,6.0,1.0,13,11
701,43,,0.0,13,12
702,27,,0.0,13,13
703,88,,0.0,13,14
704,41,,0.0,13,15
705,41,,0.0,13,16
706,13,,0.0,13,17
707,65,4.0,1.0,13,18
708,43,2.0,1.0,13,19
709,113,,0.0,13,20
710,41,,0.0,13,21
711,13,2.0,1.0,13,22
712,61,,0.0,13,23
713,225,3.0,0.5,13,24
714,11,3.0,1.0,13,25
715,37,,0.0,13,26
716,27,5.0,0.5,13,27
717,19,5.0,0.5,13,28
718,22,1.0,1.0,13,29
719,79,,0.0,13,30
720,37,,0.0,13,31
721,47,6.0,0.3333333333333333,13,32
722,52,,0.0,13,33
723,222,,0.0,13,34
724,479,,0.0,13,35
725,41,3.0,0.5,13,36
726,100,,0.0,13,37
727,24,6.0,1.0,13,38
728,17,,0.0,13,39
729,33,,0.0,13,40
730,17,1.0,0.5,13,41
731,68,,0.0,13,42
732,26,,0.0,13,43
733,33,,0.0,13,44
734,45,0.0,1.0,13,45
735,33,,0.0,13,46
736,105,,0.0,13,47
737,320,,0.0,13,48
738,48,,0.0,13,49
739,264,1.0,0.2,13,50
740,22,,0.0,13,51
741,32,3.0,1.0,13,52
742,237,3.7222222222222223,0.6428571428571429,14,0
743,110,3.0,0.5,14,1
744,59,6.0,0.5,14,2
745,78,6.0,0.25,14,3
746,96,5.0,0.14285714285714285,14,4
747,17,0.0,0.3333333333333333,14,5
748,25,2.3333333333333335,1.0,14,6
749,41,1.6666666666666667,0.6,14,7
750,41,6.0,0.5,14,8
751,150,3.0,0.25,14,9
752,93,,0.0,14,10
753,25,,0.0,14,11
754,40,2.0,0.3333333333333333,14,12
755,40,0.0,0.3333333333333333,14,13
756,11,,,14,14
757,33,2.5,0.6666666666666666,14,15
758,85,0.0,0.2,14,16
759,83,3.0,1.0,14,17
760,55,1.0,0.6666666666666666,14,18
761,53,2.0,0.6666666666666666,14,19
762,15,1.0,1.0,14,20
763,11,4.0,1.0,14,21
764,17,0.0,0.5,14,22
765,188,3.0,0.6666666666666666,14,23
766,7,,0.0,14,24
767,124,2.5,0.2222222222222222,14,25
768,66,2.0,1.0,14,26
769,27,3.0,0.5,14,27
770,96,0.5,0.2222222222222222,14,28
771,75,4.5,0.2857142857142857,14,29
772,17,3.0,1.0,14,30
773,53,3.0,0.6666666666666666,14,31
774,17,,,14,32
775,59,4.5,0.3333333333333333,14,33
776,33,4.0,0.2,14,34
777,22,0.0,0.25,14,35
778,61,,0.0,14,36
779,103,,0.0,14,37
780,33,5.0,0.25,14,38
781,19,5.0,0.5,14,39
782,19,3.0,0.5,14,40
783,13,5.0,0.5,14,41
784,31,2.0,0.5,14,42
785,194,0.0,0.1,14,43
786,40,4.0,0.5,14,44
787,23,2.0,0.5,14,45
788,17,,0.0,14,46
789,73,,0.0,14,47
790,27,,0.0,14,48
791,249,,0.0,14,49
792,66,,0.0,14,50
793,54,,0.0,14,51
794,127,,0.0,14,52
795,29,2.5,0.6666666666666666,15,0
796,25,3.0,1.0,15,1
797,58,2.625,0.6666666666666666,15,2
798,17,1.0,0.3333333333333333,15,3
799,58,1.3333333333333333,0.5454545454545454,15,4
800,23,2.0,0.6666666666666666,15,5
801,116,3.3333333333333335,0.42857142857142855,15,6
802,55,2.375,0.5333333333333333,15,7
803,33,3.0,0.3333333333333333,15,8
804,15,,0.0,15,9
805,11,1.0,0.3333333333333333,15,10
806,23,1.0,0.2,15,11
807,37,3.0,0.2857142857142857,15,12
808,25,2.0,0.3333333333333333,15,13
809,87,5.0,0.3333333333333333,15,14
810,15,,0.0,15,15
811,51,,0.0,15,16
812,31,,0.0,15,17
813,86,4.0,0.75,15,18
